SiO2	Al2O3	Na2O	MgO	K2O	MnO	CaO	TiO2	FeO	Cr2O3	X	Y
45.56	33.28	1.7	0.0213	0.0091	0.023	17.84	0.0155	0.5141	0	-31.1688	11.1477
43.42	34.53	0.755	0.02	0.0045	0.0194	19.48	0.0186	0.4444	0	-31.1635875	11.2451
43.2	34.81	0.611	0.0426	0.0044	0	19.78	0.0058	0.5318	0	-31.158375	11.3425
44.01	33.98	1.0429	0.0528	0.0041	0.0207	19.02	0.0297	0.5688	0	-31.1531625	11.4399
44.17	34.27	1.0277	0.0471	0.0075	0.02	19	0.0414	0.517	0.0047	-31.14795	11.5373
44.26	34.23	1.1026	0.0326	0	0.0079	18.96	0.024	0.4815	0.0119	-31.137525	11.7321
46.3	32.68	2.03	0.0386	0.0157	0.014	17.29	0.0119	0.433	0	-31.1323125	11.8295
46.05	33.26	1.93	0.0331	0.0134	0	17.45	0	0.4745	0.0286	-31.1271	11.9269
50.49	29.64	4.2	0.0641	0.0432	0.0122	13.3	0.0287	0.5148	0	-22.1104	14.7328
45.76	33.02	1.73	0.0223	0.0028	0.0152	17.66	0.0099	0.4959	0.0022	-22.1824375	14.7470125
43.99	34.41	0.971	0.0287	0.0025	0.0049	19.15	0.0074	0.5221	0	-22.254475	14.761225
43.09	35.44	0.5207	0.009	0.0037	0.0194	20	0	0.3545	0.018	-22.39855	14.78965
42.96	35.34	0.4953	0.0144	0.0016	0.0237	20.15	0.0064	0.31	0	-22.4705875	14.8038625
43.75	34.35	0.9439	0.0249	0	0.0177	19.19	0	0.4465	0	-22.542625	14.818075
46.58	32.67	2.21	0.0382	0.0096	0.0042	17.01	0.0228	0.4778	0	-22.6146625	14.8322875
45.85	33.31	1.84	0.0284	0.0199	0.0104	17.51	0.0225	0.4931	0	-22.6867	14.8465
45.17	33.6	1.46	0.0367	0.011	0.0049	18.29	0.0129	0.5466	0	-25.316975	8.22805
43.65	34.62	0.7922	0.0203	0	0	19.48	0.0056	0.5365	0	-25.32435	8.1881
43.25	34.85	0.6795	0.0219	0.004	0.0042	19.71	0	0.5152	0	-25.331725	8.14815
43.17	35.04	0.5776	0.0344	0	0.0092	19.93	0.0025	0.4158	0.013	-25.3391	8.1082
43.69	34.81	0.7547	0.0265	0.0108	0.0086	19.66	0.0128	0.4966	0	-25.346475	8.06825
43.23	35.49	0.5624	0.0277	0	0.0319	19.95	0.0028	0.5251	0	-25.35385	8.0283
43.89	34.59	0.89	0.0218	0.0091	0.0362	19.53	0.0183	0.4986	0	-25.361225	7.98835
45.92	33.22	1.95	0.0326	0.0146	0.0086	17.48	0.0078	0.5751	0.0037	-25.3686	7.9484
0.4502	4.59	0.0114	2.05	0.0184	0.545	0.1908	8.62	80.54	0.0385	-22.6067	6.0472
0.1219	5.02	0	2.12	0.0046	0.5221	0.1157	8.23	81.68	0.0186	-22.6866	6.1499
0.1209	3.89	0.0038	2.05	0.0042	0.5871	0.0485	9.86	81.16	0.0145	-31.1276	8.3882
0.1193	3.81	0	1.96	0.0047	0.5656	0.0181	9.81	81.04	0	-31.228	8.3681
0.1209	3.18	0.0093	1.71	0.0075	0.6302	0.0325	11.84	81.42	0	-28.8127	8.075425
0.081	3.15	0.0067	1.73	0.0094	0.5941	0.0127	11.8	80.72	0.0097	-28.8367	8.10065
0.0828	3.1	0.001	1.73	0.0144	0.6391	0.0246	11.9	81.04	0.0073	-28.8607	8.125875
0.2417	2.78	0.0121	1.4493	0.0104	0.7312	0.0981	13.2	79.04	0.0026	-28.8847	8.1511
0.1141	3.43	0.0134	1.96	0.0061	0.5772	0.0787	10.09	81.26	0.0186	-24.727	9.1106
0.0846	3.5	0.0075	1.89	0.0015	0.561	0.0034	10.98	81.84	0.0049	-24.7518	9.1565
0.0758	3.47	0.0076	1.91	0	0.5712	0	11.04	81	0.0263	-24.7766	9.2024
0.0896	3.49	0	1.89	0	0.5645	0	11.07	81.12	0.0371	-24.8014	9.2483
0.128	3.62	0	1.95	0.0116	0.6375	0.0454	10.36	81.81	0	-24.8262	9.2942
0.1423	3.61	0.0063	2	0.0225	0.5698	0.1139	9.75	80.88	0.0271	-24.5668	11.8095
0.0769	3.61	0	1.94	7.00E-04	0.5918	0.0063	10.55	81.63	0.002	-24.54705	11.85965
0.0878	3.66	0	1.9	0.0021	0.5836	0.0071	10.55	81.06	0.0083	-24.5273	11.9098
0.0963	3.54	9.00E-04	1.92	0.0033	0.5352	0.0057	10.45	81.36	0.0193	-24.50755	11.95995
0.1232	3.63	0	1.95	0	0.5886	0.0587	10.03	80.87	0.0206	-24.4878	12.0101
37.97	11.41	2.18	11.43	0.1899	0.3318	9.29	3.05	22.17	0.0059	-22.7014	6.0362
41.11	12.45	2.36	13.8	0.1422	0.2374	11.47	2	13.45	0	-22.71845556	6.030522222
40.9	12.69	2.34	13.25	0.1574	0.2528	11.52	2.02	14.15	0	-22.73551111	6.024844444
41.25	12.17	2.3	13.55	0.1475	0.2639	11.4	2.14	13.89	0	-22.75256667	6.019166667
41.73	11.38	2.29	13.58	0.1418	0.3049	11.27	2.31	14.2	0.0149	-22.76962222	6.013488889
41.83	11.42	2.28	13.69	0.1467	0.2827	11.36	2.19	13.62	0.0011	-22.78667778	6.007811111
41.3	12.25	2.31	13.5	0.1479	0.2971	11.32	2.13	13.92	0	-22.80373333	6.002133333
41.64	11.61	2.32	13.38	0.1488	0.3189	11.21	2.26	14.35	0	-22.83784444	5.990777778
52.88	27.85	4.82	0.0935	0.0754	0.0092	11.88	0.0313	0.8284	0	-22.8549	5.9851
41.75	11.61	2.19	13.28	0.1344	0.2899	11.43	2.01	14.67	0	-22.5523	5.7876
41.7	11.71	2.27	13.53	0.1339	0.3026	11.33	2.18	14.29	0	-22.55766667	5.814744444
41.75	12.07	2.27	14.04	0.1445	0.2582	11.4	1.97	13.34	0.021	-22.56303333	5.841888889
42.01	11.84	2.3	13.72	0.1626	0.2959	11.4	1.91	13.62	0	-22.5684	5.869033333
41.42	12.41	2.31	13.95	0.1447	0.2195	11.54	1.96	13.44	0.0062	-22.57376667	5.896177778
41.15	12.52	2.38	14.38	0.1311	0.2246	11.51	1.96	12.97	0	-22.57913333	5.923322222
40.75	13.12	2.37	14.23	0.1682	0.2167	11.73	1.94	12.56	7.00E-04	-22.5845	5.950466667
41.57	12.34	2.28	14.55	0.1433	0.22	11.61	1.97	12.4	0.0095	-22.58986667	5.977611111
41.88	11.99	2.26	14.62	0.1379	0.2212	11.5	1.97	12.44	0	-22.59523333	6.004755556
41.71	11.87	2.2	14.18	0.1438	0.2791	11.34	1.92	13.48	0.0098	-22.6006	6.0319
51.26	1.2865	0.0221	21.91	0	1.0346	1.41	0.2626	23.36	0	-29.2459	11.1712
50.92	1.1799	0.0238	21.82	0.0038	1.0233	1.3774	0.1823	23	0.0012	-29.26627778	11.17307778
50.85	1.4008	0.02	21.68	0	1.018	1.379	0.186	23.58	0	-29.28665556	11.17495556
50.98	1.3231	0.0038	21.45	0.0024	0.9851	1.3882	0.1699	23.44	0.0097	-29.30703333	11.17683333
51.29	1.1763	0.0227	21.62	0	1.0487	1.3808	0.1582	23.11	0	-29.32741111	11.17871111
51.12	1.3999	0.0149	21.46	6.00E-04	1.0522	1.388	0.1928	23.18	0	-29.34778889	11.18058889
50.99	1.2188	0.0326	21.58	0.0036	1.0071	1.3836	0.183	23.73	0.0066	-29.36816667	11.18246667
51.28	1.1289	0.0337	21.67	0.005	1.0329	1.3668	0.1756	23.17	0	-29.38854444	11.18434444
