SiO2	Al2O3	Na2O	MgO	K2O	MnO	CaO	TiO2	FeO	Cr2O3	X	Y
45.96	34.02	1.77	0.03	0.01	0.02	18.06	0.01	0.45	0.02	6.2693	6.1502
46.18	33.48	1.81	0.03	0.01	0.00	17.71	0.03	0.45	0.00	6.3110	6.2230
47.39	32.76	2.22	0.05	0.02	0.01	17.05	0.01	0.51	0.03	6.3526	6.2958
44.37	34.83	0.96	0.03	0.02	0.00	19.24	0.00	0.50	0.00	6.3943	6.3686
44.50	34.46	1.07	0.03	0.01	0.00	19.10	0.00	0.51	0.00	6.5610	6.6598
44.44	34.72	1.01	0.02	0.00	0.00	19.17	0.00	0.47	0.03	6.6026	6.7326
45.47	33.82	1.42	0.03	0.01	0.02	18.44	0.01	0.47	0.00	6.6443	6.8054
44.61	34.56	1.03	0.02	0.01	0.01	19.15	0.01	0.46	0.00	6.6859	6.8782
44.77	34.23	1.16	0.03	0.00	0.02	18.90	0.03	0.47	0.00	6.7276	6.9510
44.50	34.70	0.96	0.02	0.00	0.00	19.27	0.00	0.45	0.02	6.7693	7.0238
44.15	35.04	0.88	0.02	0.01	0.00	19.53	0.00	0.43	0.00	6.8109	7.0966
52.14	29.26	4.46	0.08	0.04	0.00	13.02	0.02	0.64	0.00	5.6867	9.7506
44.69	34.51	1.11	0.02	0.00	0.01	19.12	0.01	0.51	0.02	5.6828	9.8311
44.47	34.40	1.06	0.02	0.00	0.00	19.13	0.02	0.45	0.00	5.6789	9.9116
44.85	33.04	1.48	0.04	0.01	0.00	18.15	0.00	0.46	0.00	5.6750	9.9921
46.95	33.16	2.10	0.03	0.01	0.01	17.23	0.02	0.61	0.00	5.6711	10.0726
46.68	33.57	1.98	0.04	0.01	0.02	17.51	0.01	0.39	0.00	5.6672	10.1531
47.45	32.96	2.30	0.03	0.02	0.03	16.92	0.01	0.53	0.01	5.6594	10.3141
46.37	33.58	1.87	0.03	0.00	0.01	17.77	0.01	0.52	0.01	5.6555	10.3946
46.80	33.63	1.96	0.04	0.01	0.00	17.59	0.02	0.47	0.01	5.6516	10.4751
